ProcessName,RegionName,Time,Level,CO2f,electricity,gas,diesel,gasoline,LPG,hydrogen,transport_heavy,transport_medium,transport_light,CH4f,N2Of
Unit,-,Year,-,kt/PJ,PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),btons*km,btons*km,btons*km,kt/PJ,kt/PJ
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2020,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000225851,0.000212566
Heavy trucks - Conventional diesel_High Efficiency,R1,2020,fixed,74.1,0,0,0,0,0,0,1,0,0,0.00049692,0.002254446
Heavy trucks - Conventional diesel,R1,2020,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000184935,0.000174056
Heavy trucks - Battery Electric,R1,2020,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - Conventional gasoline,R1,2020,fixed,70,0,0,0,0,0,0,1,0,0,0.001827729,8.0873E-05
Heavy trucks - Hydrogen,R1,2020,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - LPG,R1,2020,fixed,63.1,0,0,0,0,0,0,1,0,0,0.000771989,0.001543979
Heavy trucks - Natural gas,R1,2020,fixed,56.1,0,0,0,0,0,0,1,0,0,0.336902094,9.10546E-05
Medium trucks - Conventional Diesel_Medium Efficiency,R1,2020,fixed,74.1,0,0,0,0,0,0,0,1,0,0.000325761,0.000306599
Medium trucks - Conventional Diesel_High Efficency,R1,2020,fixed,74.1,0,0,0,0,0,0,0,1,0,0.000670842,0.003043502
Medium trucks - Conventional Diesel,R1,2020,fixed,74.1,0,0,0,0,0,0,0,1,0,0.000183669,0.000172865
Medium trucks - Battery Electric (BEV),R1,2020,fixed,0,0,0,0,0,0,0,0,1,0,0,0
Medium trucks - Conventional Gasoline,R1,2020,fixed,70,0,0,0,0,0,0,0,1,0,0.002585322,0.000114395
Medium Trucks - Hydrogen,R1,2020,fixed,0,0,0,0,0,0,0,0,1,0,0,0
Medium trucks - LPG,R1,2020,fixed,63.1,0,0,0,0,0,0,0,1,0,0.001122524,0.002726129
Medium trucks - Natural gas,R1,2020,fixed,56.1,0,0,0,0,0,0,0,1,0,1.288492915,0.000306784
Light Trucks - Conventional Diesel_Medium Efficiency,R1,2020,fixed,74.1,0,0,0,0,0,0,0,0,1,0.004431223,0.003269937
Light Trucks - Conventional Diesel_High Efficiency,R1,2020,fixed,74.1,0,0,0,0,0,0,0,0,1,0.004874346,0.003596931
Light Trucks - Conventional Diesel,R1,2020,fixed,74.1,0,0,0,0,0,0,0,0,1,0.001250188,0.000194474
Light Trucks - Battery Electric (BEV),R1,2020,fixed,0,0,0,0,0,0,0,0,0,1,0,0
Light Trucks - Conventional Gasoline_Medium Efficiency,R1,2020,fixed,70,0,0,0,0,0,0,0,0,1,0.001336653,0.000506521
Light Trucks - Conventional Gasoline_High_Efficiency,R1,2020,fixed,70,0,0,0,0,0,0,0,0,1,0.001244087,0.000202164
Light Trucks - Conventional Gasoline,R1,2020,fixed,70,0,0,0,0,0,0,0,0,1,0.004328209,0.008032647
Light truck - Hydrogen,R1,2020,fixed,0,0,0,0,0,0,0,0,0,1,0,0
Light Trucks - Gasoline hybrid,R1,2020,fixed,70,0,0,0,0,0,0,0,0,1,0.00183595,0.004911167
Light Trucks - LPG,R1,2020,fixed,63.1,0,0,0,0,0,0,0,0,1,0.001791694,0.001791694
Light Trucks - Natural gas,R1,2020,fixed,56.1,0,0,0,0,0,0,0,0,1,0,0
